date	Algérie	Maroc	Tunisie
20210716	160868	929305	569289
20210717	162155	929699	573394
20210718	163660	930891	575002
20210719	165204	931973	578962
20210720	167131	933071	582638
20210721	168668	934007	586146
20210722	170189	934828	589565
20210723	171392	935332	595532
20210724	172564	935560	596775
20210725	173922	936236	596775
20210726	175229	936963	602757
20210727	176724	937631	602757
20210728	178013	938286	605205
20210729	179216	938801	608114
20210730	180356	939187	610660
20210731	181376	939356	613628
20210801	182368	939922	613628
20210802	183347	940503	616764
20210803	184191	941009	618124
20210804	185042	941446	620212
20210805	185902	941863	622262
20210806	186655	942132	623940
20210807	187258	942280	625688
20210808	187968	942779	626750
20210809	188663	942967	632328
20210810	189384	943222	632328
20210811	190078	943652	635455
20210812	190656	944076	638072
20210813	191171	944277	640897
20210814	191583	944378	642788
20210815	192089	944803	644072
20210816	192626	945201	647483
20210817	193171	945504	651035
20210818	193674	945720	654798
20210819	194186	945960	658322
20210820	194671	946145	660587
20210821	195162	946283	662752
20210822	195574	946543	664034
20210823	196080	946766	666168
20210824	196527	946957	668051
20210825	196915	947139	670027
20210826	197308	947307	672236
20210827	197659	947396	674047
20210828	198004	947451	675191
20210829	198313	947610	675771
20210830	198645	947761	680074
20210831	198962	947902	680074
20210901	199275	948025	681664
20210902	199560	948157	683700
20210903	199822	948226	685019
20210904	200068	948271	685799
20210905	200301	948391	695406
20210906	200528	948539	696279
20210907	200770	948633	697421
20210908	200989	948705	698427
20210909	201224	948830	699224
20210910	201425	948923	699928
20210911	201600	948976	700400
20210912	201766	949133	700807
20210913	201948	949263	702503
20210914	202122	949378	703059
20210915	202283	949532	703059
20210916	202449	949648	704914
20210917	202574	949732	704914
20210918	202722	949785	705474
20210919	202877	949917	705474
20210920	203045	950088	706314
20210921	203198	950223	707190
20210922	203359	950374	707548
20210923	203517	950501	707983
20210924	203657	950591	707983
20210925	203789	950643	708203
20210926	203915	950801	708788
20210927	204046	950946	709001
20210928	204171	951092	709222
20210929	204276	951267	709456
20210930	204388	951380	709456
20211001	204490	951482	709834
20211002	204597	951544	709866
20211003	204695	951763	710096
20211004	204790	951984	710322
20211005	204900	952189	710322
20211006	205005	952398	710673
20211007	205106	952628	710773
20211008	205199	952814	710906
20211009	205286	952916	710953
20211010	205364	953297	711007
20211011	205453	953724	711164
20211012	205529	954199	711397
20211013	205599	954853	711397
20211014	205683	955587	711521
20211015	205750	956119	711693
20211016	205822	956410	711821
20211017	205903	957594	712013
20211018	205990	959098	712139
20211019	206069	961058	712230
20211020	206160	963092	712318
20211021	206270	965420	712318
20211022	206358	966777	712747
20211023	206452	967662	712776
20211024	206566	971961	712880
20211025	206649	977579	712982
20211026	206754	983629	713071
20211027	206878	990057	713071
20211028	206995	997121	713254
20211029	207079	1002084	713308
20211030	207156	1004706	713352
20211031	207254	1012042	713352
20211101	207385	1017560	715276
20211102	207509	1025898	715489
20211103	207624	1034399	715571
20211104	207764	1043225	715637
20211105	207873	1048653	715687
20211106	207970	1051830	715716
20211107	208104	1059586	715818
20211108	208245	1068941	715911
20211109	208380	1078002	715988
20211110	208532	1086340	716074
20211111	208695	1093978	716183
20211112	208839	1098413	716262
20211113	208952	1101163	716298
20211114	209111	1107525	716609
20211115	209283	1114527	716702
20211116	209463	1120087	716861
20211117	209624	1124986	716988
20211118	209817	1129140	717163
20211119	209980	1131395	717258
